
Grupo Bonn,direccion.rh@grupobonn.com,"Trainee Marketing Digital, Auditoria, Recursos Humanos, Ventas, Administraci�n,","Gerentes en entrenamiento Ventas, Atenci�n al cliente y Generales"
NATGAS QUER�TARO,jcpineda@natgas.com.mx,0,Coordinador de Proyectos y Construcci�n
STORECHECK,sresendiz@storecheck.com,Analista de Retail Trainee,Analista de Retail Jr
Solfium,grecia.talancon@solfium.com,"Practicante de estrategia, Practicante Data analitics y Practicante Operaciones","Gerencia de ingenieria, Coordinador O&M, Site manager, Site supervisor y Customer support"
FAMILY AND HEALTH INSURANCE ,rh@familyandhealth.com.mx,0,ASESOR FINANCIERO PROFESIONAL EN SEGUROS GNP 
Keyence M�xico,judithg@keyence.com,0,Consultor t�cnico
Bonding,rh@bonding.com.mx,,
Yara M�xico,brenda.salazar@yara.com,Practicantes Agronomia ,0
SIG Manufacturing ,angel.acosta@sig.biz,Practicante de calidad/ medio tiempo. Practicante de mejora continua/ medio tiempo. Practicante de mantenimiento/ medio tiempo. Practicante de planeaci�n en la producci�n/ medio tiempo. Practicante de compras/ medio tiempo ,Analista de Log�stica 
Sparkassenstiftung Alemana,zuleima.lopez@sparkassenstiftung.de,Practicante de RH,0
IT LOGIC,rodrigo.delaloza@itcloudservices.mx,"Practicante de Ingenier�a, Practicante de Administraci�n",Administrador Jr. Coordinador de servicios
Eizen,talento.humano@senicodemus.com.mx,Practicante Administrativo de Inversiones,Asesor de Inversionistas
MIGSO-PCUBED,karla.casanova@migso-pcubed.com,N/A,PMO Consultant & Talent Acquisition Partner
Grob M�xico,g.ruiz@grobmexico.com,NA,Ingeniero de Servicio
Brose,tania.ramirez@brose.com,"Practicante de finanzas, practicante de log�stica, practicante de compras y practicante de calidad",Ing. de Calidad
